사업부(조정),부서명,대분류,중분류,Cost Elem desc,합계 : 202501,합계 : 202502,합계 : 202503,합계 : 202504,합계 : 202505,합계 : 202506,합계 : 202507,합계 : 202508,합계 : 202509, 합계 : 202510 
MLB,VMD,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,Wholesale,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,리테일,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,마케팅,수주회,수주회,광고비_수주회,"5,786,996.54",0,"71,222.16",0,0,0,"5,810,605.74",0,"298,932.77", - 
MLB,법무,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,온라인,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,유통MD,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,인사,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,인테리어,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,총무,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,Business Development,인건비,"급여,성과급",인건비,"69,897.33","215,094.67","697,925.40","219,907.27","194,800.67","197,363.83","194,800.67","197,155.97","29,217.63"," 31,573 "
MLB,MD,인건비,"급여,성과급",인건비,"1,137,867.38","721,424.23","-196,048.64","733,371.20","692,201.47","717,970.87","653,998.80","665,941.18","601,337.77"," 614,738 "
MLB,MP(상품기획),인건비,"급여,성과급",인건비,"157,523.33","90,013.33","89,673.14","94,658.00","94,658.00","95,903.50","94,658.00","97,854.16","76,706.44"," 79,903 "
MLB,VMD,인건비,"급여,성과급",인건비,"491,350.44","293,569.33","206,717.97","292,530.33","292,530.33","296,379.42","290,564.33","304,560.96","264,905.11"," 280,186 "
MLB,VMD,인건비,"파트타임,인턴",노무비,"3,025.61",0,0,0,0,0,0,0,0, - 
MLB,Wholesale,인건비,"급여,성과급",인건비,"972,994.89","433,196.00","-407,362.94","422,691.86","337,715.13","307,933.10","297,692.43","245,504.32","402,038.10"," 293,747 "
MLB,Wholesale,인건비,퇴직급여,퇴직급여,0,0,0,0,0,0,"66,180.00",0,0, - 
MLB,리테일,인건비,"급여,성과급",인건비,"497,282.30","324,146.48","115,010.21","352,202.34","354,745.24","316,243.91","312,564.86","330,192.45","340,357.83"," 325,323 "
MLB,리테일,인건비,퇴직급여,퇴직급여,0,0,0,0,0,0,0,"93,869.00",0, - 
MLB,마케팅,인건비,"급여,성과급",인건비,"1,045,132.38","600,212.39","396,438.18","653,930.60","653,930.60","670,867.02","719,903.01","699,965.62","671,806.27"," 683,182 "
MLB,마케팅,인건비,"파트타임,인턴",노무비,"7,486.45","6,428.18",775.8,"5,672.28","10,284.29","7,939.97","5,407.72","7,335.26","10,813.42"," 11,183 "
MLB,온라인,인건비,"급여,성과급",인건비,"1,705,651.21","902,086.04","1,047,394.15","895,892.41","800,331.53","876,379.57","906,194.55","855,916.00","886,278.89"," 973,148 "
MLB,유통MD,인건비,"급여,성과급",인건비,"328,461.00","187,692.00","-164,115.69","199,944.60","199,944.60","202,575.45","199,944.60","204,498.38","258,651.95"," 369,059 "
MLB,인테리어,인건비,"급여,성과급",인건비,"871,691.66","507,863.07","179,765.01","491,546.77","506,339.60","521,565.32","524,032.37","531,909.95","543,269.31"," 533,765 "
MLB,인테리어,인건비,퇴직급여,퇴직급여,0,0,0,0,0,0,0,0,0," 68,115 "
MLB,인테리어,인건비,"파트타임,인턴",노무비,0,0,0,0,"1,286.04","2,041.94","3,704.92",0,0, - 
MLB,Business Development,출장비,국내출장비,여비교통비_국내출장비,54.3,"1,082.75","18,382.47","32,789.98","12,674.06","3,255.31","16,476.23","1,476.56",972.74, 339 
MLB,Business Development,출장비,해외출장비,여비교통비_해외출장비,0,0,0,0,0,0,0,0,0, - 
MLB,MD,출장비,국내출장비,여비교통비_국내출장비,0,0,299.81,0,57.18,0,"2,463.57",0,0, - 
MLB,MD,출장비,해외출장비,여비교통비_해외출장비,0,0,"25,378.20","35,488.60","8,608.92",0,0,0,0, - 
MLB,VMD,출장비,국내출장비,여비교통비_국내출장비,0,759.15,"3,221.86","19,826.92","12,330.59",133.1,"5,885.46","1,746.88","8,662.11", 560 
MLB,Wholesale,출장비,국내출장비,여비교통비_국내출장비,"8,154.61","16,014.27","17,637.63","49,010.94","9,142.22",399.5,0,"21,615.76","19,460.78"," 3,392 "
MLB,리테일,출장비,국내출장비,여비교통비_국내출장비,721,0,0,0,0,710.75,0,"1,863.75","5,617.67"," 1,950 "
MLB,마케팅,출장비,국내출장비,여비교통비_국내출장비,"1,533.51",0,292.73,"2,536.13","3,904.17","3,674.62","17,979.57","1,236.10","5,383.08"," 14,302 "
MLB,마케팅,출장비,해외출장비,여비교통비_해외출장비,"2,767.34",0,0,0,0,0,0,0,0, - 
MLB,온라인,출장비,국내출장비,여비교통비_국내출장비,556.73,0,160,"15,992.16","1,429.00",757.67,80.14,"5,244.65","10,134.14", - 
MLB,온라인,출장비,해외출장비,여비교통비_해외출장비,"7,184.68","2,303.65",0,0,0,0,"4,924.68",0,"2,185.50", - 
MLB,유통MD,출장비,국내출장비,여비교통비_국내출장비,61.93,0,0,0,0,38.78,0,0,"4,395.43", - 
MLB,인테리어,출장비,국내출장비,여비교통비_국내출장비,"10,971.44",724.49,"22,254.21","2,563.20","12,773.14","34,918.84","35,092.67","10,962.80","34,730.75"," 24,977 "
MLB,인테리어,출장비,해외출장비,여비교통비_해외출장비,0,0,0,0,0,0,"30,896.40","7,806.65",0, - 
공통,Business Development,기타,물류비,지급수수료_퀵서비스,192.68,286.11,75.4,92.15,159.17,139.21,87.96,33.51,75.4,59.34
공통,Business Development,기타,사무용품비,소모품비_사무용품,0,0,"2,265.49",0,0,0,0,0,0,0
